Entity,In NOFO IC,In SGG,In CG,Source,CommonGrants Field,SGG API Field (v0),NOFO IC Item,NOFO IC Field,Change vs old sheet
Opportunity,yes,no,no,ic-only,,,1.05.05,Authorization Description,renamed
Opportunity,yes,no,no,ic-only,,,1.04.06,Funding Opportunity Performance Measure Description,renumbered
Opportunity,yes,no,no,ic-only,,,1.04.07,Funding Opportunity Performance Measure Value - Prior Fiscal Year,renumbered
Opportunity,yes,no,no,ic-only,,,1.04.08,Funding Opportunity Performance Measure Target Value,renumbered
Opportunity,yes,no,no,ic-only,,,1.06.01,Funding Opportunity Executive Order Title,renamed
Opportunity,yes,no,no,ic-only,,,1.06.02,Funding Opportunity Executive Order Part,renamed
Opportunity,yes,no,no,ic-only,,,1.06.03,Funding Opportunity Executive Order Section,renamed
Opportunity,yes,no,no,ic-only,,,1.06.04,Funding Opportunity Executive Order Description,renamed
Opportunity,yes,no,no,ic-only,,,1.06.01,Funding Opportunity Executive Order Title,renumbered
Opportunity,yes,no,no,ic-only,,,1.06.02,Funding Opportunity Executive Order Part,renumbered
Opportunity,yes,no,no,ic-only,,,1.06.03,Funding Opportunity Executive Order Section,renumbered
Opportunity,yes,no,no,ic-only,,,1.06.04,Funding Opportunity Executive Order Description,renumbered
Opportunity,yes,no,no,ic-only,,,1.07.01,Funding Opportunity Involvement Description,unchanged
Opportunity,yes,no,no,ic-only,,,1.07.02,Funding Opportunity General Policy Description,unchanged
Opportunity,yes,no,no,ic-only,,,1.07.03,Funding Opportunity Program-Specific Policy Description,unchanged
Opportunity,yes,no,no,ic-only,,,1.07.04,Funding Opportunity Program-Specific Policy URL,unchanged
Opportunity,yes,no,no,ic-only,,,1.07.05,Funding Opportunity Indirect Cost Rate Policy Description,unchanged
Opportunity,yes,no,no,ic-only,,,1.08.01,Financially Contributing Program,renamed
Opportunity,yes,no,no,ic-only,,,1.08.02,Anticipated Program Contribution to Funding Opportunity Amount,renamed
Opportunity,yes,no,no,ic-only,,,1.09.02,Funding Opportunity Basis for Award Amount Selection,unchanged
Opportunity,yes,no,no,ic-only,,,1.09.03,Funding Opportunity Basis for Recipient Selection,unchanged
Opportunity,yes,no,no,ic-only,,,1.09.04,Funding Opportunity Fiscal Year,renamed
Opportunity,yes,no,no,ic-only,,,1.10.01,Project Name,unchanged
Opportunity,yes,no,no,ic-only,,,1.10.02,Project Identifier,unchanged
Opportunity,yes,no,no,ic-only,,,1.10.03,Project Description,unchanged
Opportunity,yes,no,no,ic-only,,,1.10.04,Project Type,unchanged
Opportunity,yes,no,no,ic-only,,,1.10.05,Project Focus Areas,unchanged
Opportunity,yes,no,yes,cg-core,keyDates.otherDates.informationalWebinarDate,,1.11.01,Anticipated Informational Webinar Date,mappable via keyDates.otherDates
Opportunity,yes,no,no,ic-only,,,1.11.02,Informational Webinar Registration URL,unchanged
Opportunity,yes,no,yes,cg-core,keyDates.otherDates.applicationMaterialsReleaseDate,,1.11.03,Anticipated Application Materials Release Date,mappable via keyDates.otherDates
Opportunity,yes,no,yes,cg-core,keyDates.otherDates.conceptNoteDeadline,,1.11.04,Anticipated Concept Note Deadline,mappable via keyDates.otherDates
Opportunity,yes,no,no,ic-only,,,1.11.08,Anticipated Application Period End Date - Time,renumbered
Opportunity,yes,no,yes,cg-core,keyDates.otherDates.applicationReviewStartDate,,1.11.09,Anticipated Application Review Start Date,mappable via keyDates.otherDates
Opportunity,yes,no,yes,cg-core,keyDates.otherDates.applicationReviewEndDate,,1.11.10,Anticipated Application Review End Date,mappable via keyDates.otherDates
